"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Austria","AUT","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Azerbaijan","AZE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5551452636719","99.7049255371094","99.5657806396484","100","99.5542678833008","99.5638885498047","99.5930099487305","99.8000030517578","99.7207336425781","99.81005859375","99.9008560180664","99.9653244018555","99.9000015258789","100","100","100","100","100","100","100","100","100","","",
"Burundi","BDI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6","50.5398025512695","50.6311683654785","50.7661781311035","50.8998641967773","51.0391693115234","51.1910362243652","45.049503326416","51.5581398010254","51.7746353149414","39.5999984741211","52.2471771240234","49","52.7345542907715","58.5","52.4000015258789","52.0999984741211","57.1261405944824","58.6016998291016","61.7999992370605","61.429931640625","62.5940437316895","63.6784400939941","","",
"Belgium","BEL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Benin","BEN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4","44.7813873291016","45.7014350891113","46.6010475158691","47.4688720703125","49.5999984741211","49.2144165039063","50.0921440124512","50.9824371337891","51.8922386169434","56.5999984741211","53.781307220459","54.7513084411621","55.7307014465332","65.4000015258789","67","68.5999984741211","61.0548324584961","55.7999992370605","51.6699981689453","62.452823638916","54.2000007629395","64.3030776977539","65.2243881225586","66.1453857421875","","",
"Burkina Faso","BFA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4","33.4402618408203","34.6333847045898","35.8138656616211","36.9785537719727","38.1242828369141","39.7","40.3424263000488","41.4424285888672","42.5411071777344","52.4000015258789","44.7622680664063","45.8986396789551","47.0593605041504","48.2408485412598","49.4374160766602","44.4099998474121","48.5","53.0607452392578","54.2607688903809","55.4487113952637","58.4000015258789","58.0094757080078","59.723461151123","61.4665756225586","62.2999992370605","64.4310836791992","65.75390625","","",
"Bangladesh","BGD","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.060595224431","67.5852737426758","68.7489700317383","75.2","71.0542449951172","72.1895065307617","79.5","74.4094772338867","75.4895477294922","81.1999969482422","77.6078948974609","78.6517333984375","79.7011871337891","76.5999984741211","82.6100006103516","77.7991333007813","82.0999984741211","85.218994140625","86.3701171875","90.0999984741211","90.1999969482422","90.6181335449219","88","90.6999969482422","93.4418182373047","94.0100021362305","99.5","96.5","97.8000030517578","97.8000030517578","","",
"Bulgaria","BGR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.8000030517578","","",
"Bahrain","BHR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahamas, The","BHS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
